Division,Line,Station_Name,Station_Latitude,Station_Longitude,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,Entrance_Type,Entry,Exit_Only,Vending,Staffing,Staff_Hours,ADA,ADA_Notes,Free_Crossover,North_South_Street,East_West_Street,Corner,Latitude,Longitude
IRT,Clark,Clark St,40.697466,-73.993086,2,3,,,,,,,,,,Door,YES,,YES,FULL,,FALSE,,TRUE,Clark St,Henry St,NW,40.69759,-73.993275
IRT,Clark,Clark St,40.697466,-73.993086,2,3,,,,,,,,,,Door,YES,,YES,FULL,,FALSE,,TRUE,Clark St,Henry St,NW,40.697649,-73.99306
IND,8 Avenue,High St,40.699337,-73.990531,A,C,J,Z,2,3,4,5,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Cadman Plaza West,Cranberry St,NW,40.699405,-73.991413
IND,8 Avenue,High St,40.699337,-73.990531,A,C,J,Z,2,3,4,5,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Red Cross Pl,Adams St,SW,40.699112,-73.98892
IND,8 Avenue,High St,40.699337,-73.990531,A,C,J,Z,2,3,4,5,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Sands St,Adams St,SE,40.699212,-73.988274
IND,6 Avenue,York St,40.699743,-73.986885,F,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Jay St,York St,SW,40.70138,-73.986655
IRT,Clark,Park Place,40.713051,-74.008811,A,C,E,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Park Pl,Broadway,NW,40.712712,-74.007766
BMT,Nassau,Chambers St,40.713243,-74.003401,J,Z,4,5,6,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Centre St,Chambers St,SE,40.712699,-74.004099
BMT,Broadway,City Hall,40.713282,-74.006978,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Warren St,SE,40.71311,-74.007045
BMT,Broadway,City Hall,40.713282,-74.006978,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Warren St,NE,40.713437,-74.00676
BMT,Broadway,City Hall,40.713282,-74.006978,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Warren St,SE,40.713521,-74.006697
